open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1730016000000,67118.0,67184.87,67117.99,67129.07,11.69481,1730017799999,785321.626887,1567,7.13838,479312.8717631,0
1730017800000,67129.06,67147.99,67082.94,67136.2,6.36428,1730019599999,427135.0580565,1404,3.07358,206272.8381461,0
1730019600000,67132.65,67132.65,67051.14,67070.02,15.16908,1730021399999,1017642.5513255,2826,7.1084,476869.5791228,0
1730021400000,67070.01,67077.05,67027.1,67069.46,14.00044,1730023199999,938722.5920318,4162,8.12349,544678.9305356,0
1730023200000,67069.46,67121.99,67013.35,67044.01,13.25389,1730024999999,888846.6343388,1218,7.69453,515999.6275411,0
1730025000000,67044.01,67064.0,66993.98,67010.27,10.07507,1730026799999,675205.8801207,1272,2.9171,195490.7513594,0
1730026800000,67010.27,67073.99,66964.68,67064.22,10.60225,1730028599999,710554.5693912,2185,4.79809,321567.4139678,0
1730028600000,67064.22,67107.72,67032.89,67041.98,18.87409,1730030399999,1265659.9126596,4378,6.57685,441046.2006669,0
1730030400000,67041.99,67336.72,67037.2,67291.27,37.05416,1730032199999,2489806.7710125,5925,17.32477,1164295.3002717,0
1730032200000,67293.99,67437.17,67266.04,67325.76,38.41307,1730033999999,2586980.2503079,6056,17.98071,1210917.8278551,0
1730034000000,67325.76,67690.0,67318.42,67590.0,61.40056,1730035799999,4146355.5961961,5635,33.59249,2267855.126507,0
1730035800000,67591.01,67644.44,67508.4,67547.99,44.33116,1730037599999,2996185.2969958,6917,19.74809,1334758.9527404,0
1730037600000,67547.44,67669.06,67532.23,67604.02,24.50894,1730039399999,1656755.3704273,3807,13.26191,896518.9390625,0
1730039400000,67602.02,67680.0,67568.51,67626.93,24.35125,1730041199999,1646747.8932241,1569,13.3773,904522.9483028,0
1730041200000,67626.93,67769.22,67620.0,67647.99,21.24265,1730042999999,1438064.4981237,1846,10.82641,732834.5260874,0
1730043000000,67647.99,67784.0,67619.53,67712.95,15.76326,1730044799999,1067383.1042302,1314,7.70979,522081.3674569,0
1730044800000,67716.86,67800.41,67594.87,67619.99,31.86212,1730046599999,2157261.960947,2272,12.19455,825641.2850385,0
1730046600000,67619.98,67766.0,67588.01,67753.92,28.77196,1730048399999,1946714.8898813,11574,15.4232,1043647.1206012,0
1730048400000,67758.0,67767.99,67640.92,67683.99,21.56068,1730050199999,1459779.6263344,5319,10.6226,719233.5815478,0
1730050200000,67684.0,67917.21,67666.01,67685.52,38.05599,1730051999999,2579832.5495384,5311,17.45306,1183139.3208748,0
1730052000000,67685.53,67697.03,67543.83,67621.61,24.39216,1730053799999,1649190.4952988,5404,11.64854,787567.8972826,0
1730053800000,67612.01,67648.6,67469.95,67485.42,18.58906,1730055599999,1255867.4816996,1524,6.62451,447655.6982798,0
1730055600000,67485.42,67738.1,67477.97,67716.02,30.01499,1730057399999,2028855.8458139,3420,23.32196,1576520.3246797,0
1730057400000,67716.01,67775.74,67670.71,67768.05,14.28454,1730059199999,967512.6784215,1268,8.4945,575297.1224592,0
1730059200000,67768.05,67813.79,67718.0,67813.79,17.58056,1730060999999,1191529.955109,1643,11.68741,792148.7152931,0
